"company","year","region","country","icb_sector","rank","rd_million","rd_growth_1y_percent","rd_intensity_percent","sales_million","sales_growth_1y_percent","employees","employees_growth_1y_percent","capex_million","capex_growth_1y_percent","capex_intensity_percent","profit_million","profit_growth_1y_percent","profitability_percent","patents_2010_2019","performance group","Summary Innovation Index","New doctorate graduates","Population with tertiary education","Population involved in lifelong learning","International scientific co-publications","Scientific publications among the top 10% most cited","Foreign doctorate students as a % of all doctorate students","Individuals with above basic overall digital skills","R&D expenditure in the public sector","Venture capital expenditures","Direct and indirect government support of business R&D","R&D expenditure in the business sector","Employed ICT specialists","SMEs introducing product innovations","SMEs introducing business process innovations","Innovative SMEs collaborating with others","Public-private co-publications","Job-to-job mobility of HRST","PCT patent applications","Trademark applications","Design applications","Employment in knowledge-intensive activities","Employment in innovative enterprises","Exports of medium and high technology products","Knowledge-intensive services exports","Sales of new-to-market and new-to-firm innovations","Resource productivity","Air emissions by fine particulates","Environment-related technologies","Broadband penetration","Non-R&D innovation expenditures","Innovation expenditures per person employed","Enterprises providing ICT training","Human resources","Attractive research systems","Digitalisation","Firm investments","Use of information technologies","Innovators","Linkages","Intellectual assets","Employment impacts","Sales impacts","Environmental sustainability","Finance and support"
"VOLKSWAGEN",2017,"EU","Germany","Automobiles & Parts",1,13135,-3.9,5.7,230682,6.2,642300,2.5,13052,-0.8,5.7,13458,61.3,5.8,9336,"Strong",119,146.3,73.1,68.4,102.3,113.4,137.2,66.1,136.1,83.1,43.3,148.1,112.9,133.2,118.3,90.6,194.9,200,131.1,108.7,141.1,101.2,160.4,111.7,103.5,102.3,113.7,119.6,123.7,95.1,126.9,161.8,158,102.6,116.8,80.6,145.3,134.9,125.6,158.3,128.5,132,106.4,119.3,93.3
"VOLKSWAGEN",2018,"EU","Germany","Automobiles & Parts",1,13640,3.84468976018273,5.78336138800673,235849,2.74406447397082,664500,3.4563288183092,13729,5.18694452957402,5.82109739706338,13982,4.01725933640826,5.92836942280866,9336,"Strong",118.6,134.8,73.1,68.4,105.6,112.9,137.2,66.1,136.1,89.6,44.4,147.4,112.9,133.2,118.3,90.6,200.5,200,129.2,109.8,136.1,101.2,160.4,112.5,104.2,102.3,123,119.7,116.8,95.1,126.9,161.8,153.5,97.7,117.1,80.6,145.1,132.9,125.6,159.8,126.4,132,107,119.5,95.8
"VOLKSWAGEN",2019,"EU","Germany","Automobiles & Parts",1,14306,4.88269794721408,5.66278222869629,252632,7.11599370783849,671205,1.00902934537246,14230,3.64920970209046,5.63269894550176,15861,13.4387069088828,6.27830203616327,9336,"Strong",119.1,134.8,73.1,68.4,110,110.4,137.2,66.1,136.1,97.4,44.6,155.6,112.9,133.2,118.3,90.6,208.9,200,128.5,109.7,144.2,101.2,160.4,112.1,104.3,102.3,127.1,120,111.1,95.1,126.9,161.8,145.2,97.7,116.8,80.6,148,128.8,125.6,161.2,128.8,132,107,119,98.3
"NOKIA",2017,"EU","Finland","Technology Hardware & Equipment",8,4916,0.2,21.2,23147,-2,103000,2,601,26,2.6,126,-112,0.5,12780,"Leader",128.8,146.3,92.2,274.3,225,117.5,117,196.5,132.8,115.5,47.1,140.6,193.5,194.3,148.3,246.8,417.5,152.9,133.2,109.7,113.4,126.5,122.8,61.5,107.3,69.4,9.5,92.9,129.6,102.3,57.7,113.2,206.4,162,141.5,149.7,104.2,199.8,170.9,240.9,120.7,124.5,79.3,83.6,103.4
"NOKIA",2018,"EU","Finland","Technology Hardware & Equipment",10,4044,-5.5802007938361,17.9231485174844,22563,-2.523005141055,103083,0.080582524271855,672,11.8136439267887,2.97832735008642,7,-94.4444444444444,0.0310242432300669,12780,"Leader",127,134.8,92.2,274.3,233.6,115.2,125,196.5,127.9,117.6,46.2,131.6,193.5,194.3,148.3,246.8,405.1,152.9,133.2,124.1,94.1,126.5,122.8,64.6,107.7,69.4,12.2,93.4,117.7,102.3,57.7,113.2,186.6,157.1,144,149.7,100.9,190.2,170.9,238.4,118.2,124.5,80.7,80.8,101.9
"NOKIA",2019,"EU","Finland","Technology Hardware & Equipment",10,4411,9.07517309594461,18.9191507613125,23315,3.33289012985862,98322,-4.61860830592823,690,2.67857142857142,2.95946815354922,575,8114.28571428571,2.46622346129101,12780,"Leader",127.4,123.2,92.2,274.3,242.1,120.4,131.2,196.5,131.1,129.6,42.4,130.8,193.5,194.3,148.3,246.8,418.4,150,133.2,127.8,86.3,126.5,122.8,63.2,105.5,69.4,9.4,92.8,112.4,102.3,57.7,113.2,207,152.5,150.3,149.7,100.7,200.2,170.9,239.9,116.5,124.5,79.3,78.2,105.9
"DAIMLER",2017,"EU","Germany","Automobiles & Parts",2,8663,15,5.3,164330,7.2,289321,2.4,6744,14.5,4.1,14631,15.2,8.9,19036,"Strong",119,146.3,73.1,68.4,102.3,113.4,137.2,66.1,136.1,83.1,43.3,148.1,112.9,133.2,118.3,90.6,194.9,200,131.1,108.7,141.1,101.2,160.4,111.7,103.5,102.3,113.7,119.6,123.7,95.1,126.9,161.8,158,102.6,116.8,80.6,145.3,134.9,125.6,158.3,128.5,132,106.4,119.3,93.3
"DAIMLER",2018,"EU","Germany","Automobiles & Parts",2,9041,4.36338450883067,5.40206259485427,167362,1.95426246085992,298683,3.23585221950706,7534,11.7141162514828,4.5016192445119,10873,-23.8425439518106,6.49669578518421,19036,"Strong",118.6,134.8,73.1,68.4,105.6,112.9,137.2,66.1,136.1,89.6,44.4,147.4,112.9,133.2,118.3,90.6,200.5,200,129.2,109.8,136.1,101.2,160.4,112.5,104.2,102.3,123,119.7,116.8,95.1,126.9,161.8,153.5,97.7,117.1,80.6,145.1,132.9,125.6,159.8,126.4,132,107,119.5,95.8
"DAIMLER",2019,"EU","Germany","Automobiles & Parts",2,9630,6.51476606570069,5.57469101855336,172745,3.21638125739414,298655,-0.00937448733272506,7199,-4.44650915848155,4.16741439694347,4680,-56.9576013979582,2.70919563518481,19036,"Strong",119.1,134.8,73.1,68.4,110,110.4,137.2,66.1,136.1,97.4,44.6,155.6,112.9,133.2,118.3,90.6,208.9,200,128.5,109.7,144.2,101.2,160.4,112.1,104.3,102.3,127.1,120,111.1,95.1,126.9,161.8,145.2,97.7,116.8,80.6,148,128.8,125.6,161.2,128.8,132,107,119,98.3
"GLAXOSMITHKLINE",2017,"EU","UK","Pharmaceuticals & Biotechnology",10,4351,14,12.8,34008,8.2,98462,-0.8,1740.6,0.1,5.1,4609,89,13.6,1525,"Leader",126.4,158.9,134.1,136.7,156.7,143,262.2,NA,67.2,126.7,207.7,78.9,125.8,132.8,98.1,328.6,210.3,250,94.3,100.5,66.4,145.8,141.4,93.3,112.5,162.9,197.4,85.2,101,39.1,89.5,83.7,140.1,145.2,175.1,39,83.9,132.9,115,270.7,86.7,143.3,117.5,117.8,125.3
"GLAXOSMITHKLINE",2018,"EU","UK","Pharmaceuticals & Biotechnology",9,4141.279363,-3.28845157712817,12.1183608577492,34173.593373,2.10362419808225,95490,-3.01842335114054,1490.195304,-13.0097087460253,4.36066318146507,5868.752789,29.381569307066,17.1733558275344,1525,"Leader",127.7,162.8,134.7,135.7,165.6,146.8,263.5,NA,63.9,139.7,207.7,80.5,122.6,132.8,98.1,328.6,222.1,250,92.2,98.4,66.3,145.8,141.4,89.4,113.2,162.9,218.4,87.1,97.6,39.1,89.5,83.7,148.4,146.7,179.3,39,84.5,135.3,115,272.8,85.4,143.3,116.2,122.6,128.2
"GLAXOSMITHKLINE",2019,"RoW","UK","Pharmaceuticals & Biotechnology",8,5068.025194,16.1713520804593,12.8547727662466,39425.241396,9.51623892874178,99437,4.13341711173945,1477.541339,-5.87797615251107,3.74770397512368,7198.487963,16.4368033263016,18.2585767597363,1525,"Leader",128.5,169.3,140.1,138.7,175.5,148.9,256.7,NA,63.9,150.5,207.7,82.7,129,132.8,98.1,328.6,231,261.8,90,93.5,66.6,150.6,141.4,82.2,113.8,162.9,224.2,89.5,92.5,39.1,89.5,83.7,134.4,152,181.1,39,85.4,131.6,115,279.7,83.3,145.7,113.5,123.7,131.6
"SIEMENS",2017,"EU","Germany","Electronic & Electrical Equipment",5,5538,9.5,6.7,83049,4.3,372000,6,2406,12.7,2.9,7516,5.3,9.1,42403,"Strong",119,146.3,73.1,68.4,102.3,113.4,137.2,66.1,136.1,83.1,43.3,148.1,112.9,133.2,118.3,90.6,194.9,200,131.1,108.7,141.1,101.2,160.4,111.7,103.5,102.3,113.7,119.6,123.7,95.1,126.9,161.8,158,102.6,116.8,80.6,145.3,134.9,125.6,158.3,128.5,132,106.4,119.3,93.3
"SIEMENS",2018,"EU","Germany","Electronic & Electrical Equipment",5,5909,6.69916937522572,7.11550503347623,83044,-0.00602054208961311,379000,1.88172043010753,2602,8.14630091438071,3.13327874379847,6083,-19.0659925492283,7.32503251288474,42403,"Strong",118.6,134.8,73.1,68.4,105.6,112.9,137.2,66.1,136.1,89.6,44.4,147.4,112.9,133.2,118.3,90.6,200.5,200,129.2,109.8,136.1,101.2,160.4,112.5,104.2,102.3,123,119.7,116.8,95.1,126.9,161.8,153.5,97.7,117.1,80.6,145.1,132.9,125.6,159.8,126.4,132,107,119.5,95.8
"SIEMENS",2019,"EU","Germany","Electronic & Electrical Equipment",5,6086,2.99543069893382,7.0075648539419,86849,4.5819083859159,385000,1.58311345646438,2610,0.307455803228285,3.00521594952158,6742,10.8334703271412,7.76289882439637,42403,"Strong",119.1,134.8,73.1,68.4,110,110.4,137.2,66.1,136.1,97.4,44.6,155.6,112.9,133.2,118.3,90.6,208.9,200,128.5,109.7,144.2,101.2,160.4,112.1,104.3,102.3,127.1,120,111.1,95.1,126.9,161.8,145.2,97.7,116.8,80.6,148,128.8,125.6,161.2,128.8,132,107,119,98.3
"ROBERT BOSCH",2017,"EU","Germany","Automobiles & Parts",4,5934,0.4,7.6,78066,6.8,402166,3.3,5477,5.1,7,4824,54.4,6.2,43674,"Strong",119,146.3,73.1,68.4,102.3,113.4,137.2,66.1,136.1,83.1,43.3,148.1,112.9,133.2,118.3,90.6,194.9,200,131.1,108.7,141.1,101.2,160.4,111.7,103.5,102.3,113.7,119.6,123.7,95.1,126.9,161.8,158,102.6,116.8,80.6,145.3,134.9,125.6,158.3,128.5,132,106.4,119.3,93.3
"ROBERT BOSCH",2018,"EU","Germany","Automobiles & Parts",4,6189,4.29726996966633,7.88759319441789,78465,0.511105987241556,409881,1.91836206939422,3095,-43.490962205587,3.94443382399796,5741,19.0091210613599,7.31663799146116,43674,"Strong",118.6,134.8,73.1,68.4,105.6,112.9,137.2,66.1,136.1,89.6,44.4,147.4,112.9,133.2,118.3,90.6,200.5,200,129.2,109.8,136.1,101.2,160.4,112.5,104.2,102.3,123,119.7,116.8,95.1,126.9,161.8,153.5,97.7,117.1,80.6,145.1,132.9,125.6,159.8,126.4,132,107,119.5,95.8
"ROBERT BOSCH",2019,"EU","Germany","Automobiles & Parts",4,6229,0.646307965745674,8.0145649181045,77721,-0.948193462053148,398150,-2.86205020481555,4946,59.8061389337641,6.36378842269142,2903,-49.4338965337049,3.73515523474994,43674,"Strong",119.1,134.8,73.1,68.4,110,110.4,137.2,66.1,136.1,97.4,44.6,155.6,112.9,133.2,118.3,90.6,208.9,200,128.5,109.7,144.2,101.2,160.4,112.1,104.3,102.3,127.1,120,111.1,95.1,126.9,161.8,145.2,97.7,116.8,80.6,148,128.8,125.6,161.2,128.8,132,107,119,98.3
"BAYER",2017,"EU","Germany","Pharmaceuticals & Biotechnology",7,5162,8.1,11.2,46072,-3.1,99820,-13.4,2366,-8.2,5.1,11366,57.1,24.7,7267,"Strong",119,146.3,73.1,68.4,102.3,113.4,137.2,66.1,136.1,83.1,43.3,148.1,112.9,133.2,118.3,90.6,194.9,200,131.1,108.7,141.1,101.2,160.4,111.7,103.5,102.3,113.7,119.6,123.7,95.1,126.9,161.8,158,102.6,116.8,80.6,145.3,134.9,125.6,158.3,128.5,132,106.4,119.3,93.3
"BAYER",2018,"EU","Germany","Pharmaceuticals & Biotechnology",7,5109,-1.02673382409919,12.9060779063305,39586,-14.0779649244661,116998,17.2089761570827,2593,9.59425190194421,6.55029555903602,-361,-103.176139363012,-0.911938564138837,7267,"Strong",118.6,134.8,73.1,68.4,105.6,112.9,137.2,66.1,136.1,89.6,44.4,147.4,112.9,133.2,118.3,90.6,200.5,200,129.2,109.8,136.1,101.2,160.4,112.5,104.2,102.3,123,119.7,116.8,95.1,126.9,161.8,153.5,97.7,117.1,80.6,145.1,132.9,125.6,159.8,126.4,132,107,119.5,95.8
"BAYER",2019,"EU","Germany","Pharmaceuticals & Biotechnology",7,5628,10.15854374633,12.1589215114395,46287,16.9277017127267,103824,-11.2600215388297,2650,2.19822599305823,5.7251496100417,5960,-1750.96952908587,12.876185538056,7267,"Strong",119.1,134.8,73.1,68.4,110,110.4,137.2,66.1,136.1,97.4,44.6,155.6,112.9,133.2,118.3,90.6,208.9,200,128.5,109.7,144.2,101.2,160.4,112.1,104.3,102.3,127.1,120,111.1,95.1,126.9,161.8,145.2,97.7,116.8,80.6,148,128.8,125.6,161.2,128.8,132,107,119,98.3
"ASTRAZENECA",2017,"EU","UK","Pharmaceuticals & Biotechnology",9,4512.6,-4.2,24.1,18731.8,-2.3,61000,2.2,1105.6,-8.3,5.9,1786,-42.3,9.5,1185,"Leader",126.4,158.9,134.1,136.7,156.7,143,262.2,NA,67.2,126.7,207.7,78.9,125.8,132.8,98.1,328.6,210.3,250,94.3,100.5,66.4,145.8,141.4,93.3,112.5,162.9,197.4,85.2,101,39.1,89.5,83.7,140.1,145.2,175.1,39,83.9,132.9,115,270.7,86.7,143.3,117.5,117.8,125.3
"ASTRAZENECA",2018,"EU","UK","Pharmaceuticals & Biotechnology",8,4631.438686,-2.67939071389245,24.0063377093708,19292.56658,-1.66926329846429,64400,5.57377049180328,910.916566,-21.342383107089,4.72159348121322,1318.77662,-29.5051353874883,6.83567224988683,1185,"Leader",127.7,162.8,134.7,135.7,165.6,146.8,263.5,NA,63.9,139.7,207.7,80.5,122.6,132.8,98.1,328.6,222.1,250,92.2,98.4,66.3,145.8,141.4,89.4,113.2,162.9,218.4,87.1,97.6,39.1,89.5,83.7,148.4,146.7,179.3,39,84.5,135.3,115,272.8,85.4,143.3,116.2,122.6,128.2
"ASTRAZENECA",2019,"RoW","UK","Pharmaceuticals & Biotechnology",9,4795.264985,1.58400905148028,22.0923556430446,21705.53952,10.3847894975102,70600,9.62732919254659,871.461745,-6.13614573346117,4.01492782152231,1515.04381,12.7152317880795,6.97998687664042,1185,"Leader",128.5,169.3,140.1,138.7,175.5,148.9,256.7,NA,63.9,150.5,207.7,82.7,129,132.8,98.1,328.6,231,261.8,90,93.5,66.6,150.6,141.4,82.2,113.8,162.9,224.2,89.5,92.5,39.1,89.5,83.7,134.4,152,181.1,39,85.4,131.6,115,279.7,83.3,145.7,113.5,123.7,131.6
"ERICSSON",2017,"EU","Sweden","Technology Hardware & Equipment",13,3260.7,2,15.9,20449.6,-9.6,100735,-9.6,393.8,-36.7,1.9,-3870.3,-708.4,-18.9,19967,"Leader",136.9,169.5,147.3,274.3,264.6,134.9,197.7,141.1,136.1,88.7,91.6,165.4,200,124.1,96.7,147.5,424.9,120.6,133.2,119,106.6,173.5,120.4,86.7,104.1,50.1,63.8,99.6,87.4,199.7,119.1,191.6,175.2,189.6,179.3,170.4,158.1,187.8,110.1,192.4,120.9,145.7,83.4,86.9,108.4
"ERICSSON",2018,"EU","Sweden","Technology Hardware & Equipment",15,3484.008567,11.3091158353242,16.9457118698552,20559.824183,2.65851259412473,95359,-5.33677470591155,387.621307,2.52772766975271,1.88533376331353,160.801895,-105.307882940611,0.782117072445395,19967,"Leader",137.3,157.9,147.3,274.3,272.9,132.7,210.2,141.1,136.1,95.1,87.4,166.9,200,124.1,96.7,147.5,419.7,120.6,133.2,124.9,106,173.5,120.4,85.6,100.9,50.1,71,102.7,95.6,199.7,119.1,191.6,175.2,184.6,182.9,170.4,158.7,187.8,110.1,191.3,122.2,145.7,81.8,92.7,109.4
"ERICSSON",2019,"EU","Sweden","Technology Hardware & Equipment",15,3681.59447,7.64946262540585,16.9270649954198,21749.750893,7.76804940583407,99417,4.25549764573874,489.909271,28.7547169583219,2.25248221650977,929.659798,488.963008463689,4.27434687676908,19967,"Leader",138.4,146.3,147.3,274.3,284.9,137.4,213,141.1,136.1,102.6,85.3,172.2,200,124.1,96.7,147.5,447.6,120.6,133.2,129.8,103.9,173.5,120.4,85.6,98.8,50.1,69,104.5,108.6,199.7,119.1,191.6,175.2,179.7,188.9,170.4,160.5,187.8,110.1,196.7,122.7,145.7,81.1,96.9,111.3
"BMW",2017,"EU","Germany","Automobiles & Parts",3,6108,18.3,6.2,98678,4.8,129932,12.2,7112,22.1,7.2,9764,4.7,9.9,553,"Strong",119,146.3,73.1,68.4,102.3,113.4,137.2,66.1,136.1,83.1,43.3,148.1,112.9,133.2,118.3,90.6,194.9,200,131.1,108.7,141.1,101.2,160.4,111.7,103.5,102.3,113.7,119.6,123.7,95.1,126.9,161.8,158,102.6,116.8,80.6,145.3,134.9,125.6,158.3,128.5,132,106.4,119.3,93.3
"BMW",2018,"EU","Germany","Automobiles & Parts",3,6890,12.8028814669286,7.06811653672548,97480,-0.816019210028285,134682,3.6557583966998,7777,9.35039370078741,7.97804677882643,8975,-8.25922518654809,9.20701682396389,553,"Strong",118.6,134.8,73.1,68.4,105.6,112.9,137.2,66.1,136.1,89.6,44.4,147.4,112.9,133.2,118.3,90.6,200.5,200,129.2,109.8,136.1,101.2,160.4,112.5,104.2,102.3,123,119.7,116.8,95.1,126.9,161.8,153.5,97.7,117.1,80.6,145.1,132.9,125.6,159.8,126.4,132,107,119.5,95.8
"BMW",2019,"EU","Germany","Automobiles & Parts",3,6419,-6.83599419448476,6.15967757412916,104210,6.90398030365202,133778,-0.671210703731751,6902,-11.2511251125113,6.6231647634584,7403,-17.5153203342618,7.1039247672968,553,"Strong",119.1,134.8,73.1,68.4,110,110.4,137.2,66.1,136.1,97.4,44.6,155.6,112.9,133.2,118.3,90.6,208.9,200,128.5,109.7,144.2,101.2,160.4,112.1,104.3,102.3,127.1,120,111.1,95.1,126.9,161.8,145.2,97.7,116.8,80.6,148,128.8,125.6,161.2,128.8,132,107,119,98.3
"VOLVO",2017,"EU","Sweden","Industrial Engineering",25,1840.2,3.1,5.4,34005.8,10.9,87104,3.6,1750.1,-1.3,5.1,3067,45.8,9,2752,"Leader",136.9,169.5,147.3,274.3,264.6,134.9,197.7,141.1,136.1,88.7,91.6,165.4,200,124.1,96.7,147.5,424.9,120.6,133.2,119,106.6,173.5,120.4,86.7,104.1,50.1,63.8,99.6,87.4,199.7,119.1,191.6,175.2,189.6,179.3,170.4,158.1,187.8,110.1,192.4,120.9,145.7,83.4,86.9,108.4
"VOLVO",2018,"EU","Sweden","Industrial Engineering",24,1914.312925,8.36875517454409,5.02284857424877,38112.097084,16.7546930839985,105175,20.746463997061,1669.648306,-0.615277444456319,4.38088804801282,3358.799572,14.0869795710559,8.81294871966012,2752,"Leader",137.3,157.9,147.3,274.3,272.9,132.7,210.2,141.1,136.1,95.1,87.4,166.9,200,124.1,96.7,147.5,419.7,120.6,133.2,124.9,106,173.5,120.4,85.6,100.9,50.1,71,102.7,95.6,199.7,119.1,191.6,175.2,184.6,182.9,170.4,158.7,187.8,110.1,191.3,122.2,145.7,81.8,92.7,109.4
"VOLVO",2019,"EU","Sweden","Industrial Engineering",24,1879.134214,16.2147762223677,4.54442335073901,41350.333562,10.5277432359196,103985,-1.13144758735441,1728.275087,5.44912977856442,4.17959164563607,4713.964828,42.9741028805288,11.400064816725,2752,"Leader",138.4,146.3,147.3,274.3,284.9,137.4,213,141.1,136.1,102.6,85.3,172.2,200,124.1,96.7,147.5,447.6,120.6,133.2,129.8,103.9,173.5,120.4,85.6,98.8,50.1,69,104.5,108.6,199.7,119.1,191.6,175.2,179.7,188.9,170.4,160.5,187.8,110.1,196.7,122.7,145.7,81.1,96.9,111.3
"SAP",2017,"EU","Germany","Software & Computer Services",12,3332,9.7,14.2,23461,6.3,88543,5.2,1275,27.4,5.4,4878,-5,20.8,860,"Strong",119,146.3,73.1,68.4,102.3,113.4,137.2,66.1,136.1,83.1,43.3,148.1,112.9,133.2,118.3,90.6,194.9,200,131.1,108.7,141.1,101.2,160.4,111.7,103.5,102.3,113.7,119.6,123.7,95.1,126.9,161.8,158,102.6,116.8,80.6,145.3,134.9,125.6,158.3,128.5,132,106.4,119.3,93.3
"SAP",2018,"EU","Germany","Software & Computer Services",13,3612,8.40336134453781,14.6187469645459,24708,5.31520395550062,96498,8.98433529471556,1458,14.3529411764706,5.9009227780476,5703,16.9126691266913,23.0815930063137,860,"Strong",118.6,134.8,73.1,68.4,105.6,112.9,137.2,66.1,136.1,89.6,44.4,147.4,112.9,133.2,118.3,90.6,200.5,200,129.2,109.8,136.1,101.2,160.4,112.5,104.2,102.3,123,119.7,116.8,95.1,126.9,161.8,153.5,97.7,117.1,80.6,145.1,132.9,125.6,159.8,126.4,132,107,119.5,95.8
"SAP",2019,"EU","Germany","Software & Computer Services",11,4283,18.5769656699889,15.5445867963561,27553,11.5144892342561,100330,3.97106675786028,817,-43.9643347050754,2.96519435270206,4472,-21.5851306330002,16.2305375095271,860,"Strong",119.1,134.8,73.1,68.4,110,110.4,137.2,66.1,136.1,97.4,44.6,155.6,112.9,133.2,118.3,90.6,208.9,200,128.5,109.7,144.2,101.2,160.4,112.1,104.3,102.3,127.1,120,111.1,95.1,126.9,161.8,145.2,97.7,116.8,80.6,148,128.8,125.6,161.2,128.8,132,107,119,98.3
"RENAULT",2017,"EU","France","Automobiles & Parts",17,2958,10,5,58770,14.7,181344,45.3,2291,12.4,3.9,3710,13.7,6.3,5645,"Strong",112.7,123.2,153.3,102,94.4,96.1,232.4,121.3,103.3,148.2,230,105.3,100,111.7,137,149.6,131.4,94.1,104.4,76.5,66.5,114.5,129.4,94.5,83.5,74.1,138,106.2,113.6,144.6,75.3,122.7,64.3,127.3,128.8,133,100.7,82.4,124.7,122.1,85,122.1,85.5,116.4,152.9
"RENAULT",2018,"EU","France","Automobiles & Parts",14,3516,18.8640973630832,6.12340862780613,57419,-2.29879190062957,183002,0.914284453855663,2635,15.0152771715408,4.58907330326199,2969,-19.886670264436,5.17076229122764,5645,"Strong",112.7,111.6,153.3,102,97.5,93.9,232.4,121.3,101.6,153.9,230,106,100,111.7,137,149.6,132.8,94.1,104.6,76.8,64.6,114.5,129.4,93,85.3,74.1,152.9,105.8,114.2,144.6,75.3,122.7,64.3,122.6,128.2,133,100.9,82.4,124.7,122.1,84.5,122.1,85.5,120,154
"RENAULT",2019,"EU","France","Automobiles & Parts",14,3697,5.14789533560864,6.65682337900859,55537,-3.2776607046448,179565,-1.87812155058414,2936,11.4231499051233,5.28656571294812,2115,-28.7638935668575,3.80827196283559,5645,"Strong",113.3,123.2,153.3,102,99.4,94.9,232.4,121.3,98.4,154.8,230,105.3,100,111.7,137,149.6,133.5,117.6,103,77.7,65.1,114.5,129.4,92.5,81.4,74.1,159.3,105.8,107.4,144.6,75.3,122.7,64.3,127.3,129.3,133,100.7,82.4,124.7,132.6,84.2,122.1,83.9,119.5,153.1
"STMICROELECTRONICS",2017,"EU","Netherlands","Technology Hardware & Equipment",36,1065.6,-1.3,15.4,6927.4,19.6,45468,4.6,1084.8,112.9,15.7,855.5,273.1,12.3,2459,"Leader",130.5,76.8,185,261.1,210,159.1,220,208,106.6,119.6,157.5,100.8,171,160.1,115.6,162.8,337.1,229.4,122.8,109.7,70.6,163.9,131.6,75.7,110.1,81.8,208.6,106.3,89.3,150.2,37.7,77.4,83.4,159.3,185.2,179.1,72.2,128.2,137.2,226.4,102.5,146.8,89.1,126.3,124.9
"STMICROELECTRONICS",2018,"EU","Netherlands","Technology Hardware & Equipment",36,1183.40551,6.02503912363068,14.09696213067,8394.755544,15.6957149735195,45953,1.06668426145862,1103.056206,-2.92083013066872,13.1398252184769,1199.999388,33.9181286549707,14.294631710362,2459,"Leader",132,76.8,185,261.1,217.4,158.8,244.2,208,101.6,132.9,145.8,103,171,160.1,115.6,162.8,344,229.4,124.8,114,76.2,163.9,131.6,75.7,107.9,81.8,210.2,106.3,82.6,150.2,37.7,77.4,109.6,159.3,192.7,179.1,72.9,140.8,137.2,227.9,106.2,146.8,88.4,124.6,123.9
"STMICROELECTRONICS",2019,"EU","Netherlands","Technology Hardware & Equipment",36,1212.39111,0.516605166051676,14.2932102004408,8482.286995,-0.863503953391587,45554,-0.868278458424909,1051.273055,-6.49247822644497,12.3937454087522,929.32182,-24.0174672489083,10.9560289642145,2459,"Leader",134.9,76.8,185,261.1,230.2,161.8,263.4,208,100,137.3,168.8,106,171,160.1,115.6,162.8,361.6,229.4,124.4,114.6,88.5,163.9,131.6,76,108.7,81.8,235.3,106.4,75.6,150.2,37.7,77.4,118.5,159.3,201.8,179.1,74,145.3,137.2,231.5,110.1,146.8,88.8,128.7,131
"CONTINENTAL",2017,"EU","Germany","Automobiles & Parts",14,3195.8,9.5,7.3,44009.5,8.5,235473,7,2849.7,9.9,6.5,4382.1,9,10,5292,"Strong",119,146.3,73.1,68.4,102.3,113.4,137.2,66.1,136.1,83.1,43.3,148.1,112.9,133.2,118.3,90.6,194.9,200,131.1,108.7,141.1,101.2,160.4,111.7,103.5,102.3,113.7,119.6,123.7,95.1,126.9,161.8,158,102.6,116.8,80.6,145.3,134.9,125.6,158.3,128.5,132,106.4,119.3,93.3
"CONTINENTAL",2018,"EU","Germany","Automobiles & Parts",16,3367,5.35703110332311,7.58258190629757,44404.4,0.897306263420394,243226,3.29252186025575,3124.4,9.63961118714252,7.03623965192639,4023.2,-8.19013714885558,9.06036338741206,5292,"Strong",118.6,134.8,73.1,68.4,105.6,112.9,137.2,66.1,136.1,89.6,44.4,147.4,112.9,133.2,118.3,90.6,200.5,200,129.2,109.8,136.1,101.2,160.4,112.5,104.2,102.3,123,119.7,116.8,95.1,126.9,161.8,153.5,97.7,117.1,80.6,145.1,132.9,125.6,159.8,126.4,132,107,119.5,95.8
"CONTINENTAL",2019,"EU","Germany","Automobiles & Parts",16,3596.6,6.81912681912682,8.08617216446635,44478.4,0.166650151786762,241458,-0.72689597329233,2977.5,-4.70170272692357,6.69426058491313,-314.3,-107.812189302048,-0.706635130760099,5292,"Strong",119.1,134.8,73.1,68.4,110,110.4,137.2,66.1,136.1,97.4,44.6,155.6,112.9,133.2,118.3,90.6,208.9,200,128.5,109.7,144.2,101.2,160.4,112.1,104.3,102.3,127.1,120,111.1,95.1,126.9,161.8,145.2,97.7,116.8,80.6,148,128.8,125.6,161.2,128.8,132,107,119,98.3
"BASF",2017,"EU","Germany","Chemicals",24,1867,1.8,2.9,64475,12,115490,1.5,3996,-3.6,6.2,8370,37,13,1288,"Strong",119,146.3,73.1,68.4,102.3,113.4,137.2,66.1,136.1,83.1,43.3,148.1,112.9,133.2,118.3,90.6,194.9,200,131.1,108.7,141.1,101.2,160.4,111.7,103.5,102.3,113.7,119.6,123.7,95.1,126.9,161.8,158,102.6,116.8,80.6,145.3,134.9,125.6,158.3,128.5,132,106.4,119.3,93.3
"BASF",2018,"EU","Germany","Chemicals",27,1650,-11.6229244777718,2.471206697719,66769,3.55796820473051,122404,5.98666551216556,3894,-2.55255255255256,5.83204780661684,7501,-9.77868655280251,11.2342554179335,1288,"Strong",118.6,134.8,73.1,68.4,105.6,112.9,137.2,66.1,136.1,89.6,44.4,147.4,112.9,133.2,118.3,90.6,200.5,200,129.2,109.8,136.1,101.2,160.4,112.5,104.2,102.3,123,119.7,116.8,95.1,126.9,161.8,153.5,97.7,117.1,80.6,145.1,132.9,125.6,159.8,126.4,132,107,119.5,95.8
