"company","year","region","country","icb_sector","rank","rd_million","rd_growth_1y_percent","rd_intensity_percent","sales_million","sales_growth_1y_percent","employees","employees_growth_1y_percent","capex_million","capex_growth_1y_percent","capex_intensity_percent","profit_million","profit_growth_1y_percent","profitability_percent","patents_2010_2019","performance group","Summary Innovation Index","New doctorate graduates","Population with tertiary education","Population involved in lifelong learning","International scientific co-publications","Scientific publications among the top 10% most cited","Foreign doctorate students as a % of all doctorate students","Individuals with above basic overall digital skills","R&D expenditure in the public sector","Venture capital expenditures","Direct and indirect government support of business R&D","R&D expenditure in the business sector","Employed ICT specialists","SMEs introducing product innovations","SMEs introducing business process innovations","Innovative SMEs collaborating with others","Public-private co-publications","Job-to-job mobility of HRST","PCT patent applications","Trademark applications","Design applications","Employment in knowledge-intensive activities","Employment in innovative enterprises","Exports of medium and high technology products","Knowledge-intensive services exports","Sales of new-to-market and new-to-firm innovations","Resource productivity","Air emissions by fine particulates","Environment-related technologies","Broadband penetration","Non-R&D innovation expenditures","Innovation expenditures per person employed","Enterprises providing ICT training","Human resources","Attractive research systems","Digitalisation","Firm investments","Use of information technologies","Innovators","Linkages","Intellectual assets","Employment impacts","Sales impacts","Environmental sustainability","Finance and support"
"ENI",2017,"EU","Italy","Oil & Gas Producers",166,185,14.9,0.3,66919,20,32934,-1.8,8490,-6.4,12.7,9193,539.3,13.7,502,"Moderate",83.6,76.8,21.6,90.8,79.5,106,75.4,82.4,65.6,87.2,30.8,59.4,77.4,135.5,122.5,56.3,118.4,52.9,75,99.1,128.6,100,108.7,81.3,62.2,75.8,191.5,100.8,86.5,56.7,80.9,60.1,46.5,62.7,92.7,69.5,67,62.2,128.9,67.4,98.5,104.5,73.3,118.6,62.8
"ENI",2018,"EU","Italy","Oil & Gas Producers",158,197,6.48648648648649,0.259819049879982,75822,13.3041438156577,31701,-3.74385133904171,8778,3.3922261484099,11.5771148215557,11489,24.9755248558686,15.1525942338635,502,"Moderate",85.2,76.8,21.6,90.8,84.1,108.3,81.1,82.4,62.3,80.4,62.2,59.4,77.4,135.5,122.5,56.3,123.1,52.9,75.4,104.6,141.3,100,108.7,80.8,63.2,75.8,204.4,101.1,83.2,56.7,80.9,60.1,43.3,62.7,96.4,69.5,67,60.8,128.9,68.5,104,104.5,73.4,121.1,68
"ENI",2019,"EU","Italy","Oil & Gas Producers",174,194,-1.52284263959391,0.277614802306779,69881,-7.83545672759885,32053,1.11037506703258,8049,-8.30485304169515,11.5181522874601,6725,-41.4657498476804,9.62350281192313,502,"Moderate",86,76.8,21.6,90.8,90.4,107.9,85.5,82.4,60.7,81.5,78.5,60.9,77.4,135.5,122.5,56.3,135.5,52.9,76,106.4,134.3,100,108.7,80.6,63.2,75.8,214.3,102.8,74,56.7,80.9,60.1,50.3,62.7,98.7,69.5,67.3,64.1,128.9,71,102.5,104.5,73.3,121.4,72.2
"RABOBANK",2017,"EU","Netherlands","Banks",215,130,23.8,1.1,12022,-6.1,43810,-3.9,1.2,-99.9,0,3632,33.6,30.2,0,"Leader",130.5,76.8,185,261.1,210,159.1,220,208,106.6,119.6,157.5,100.8,171,160.1,115.6,162.8,337.1,229.4,122.8,109.7,70.6,163.9,131.6,75.7,110.1,81.8,208.6,106.3,89.3,150.2,37.7,77.4,83.4,159.3,185.2,179.1,72.2,128.2,137.2,226.4,102.5,146.8,89.1,126.3,124.9
"RABOBANK",2018,"EU","Netherlands","Banks",245,118,-9.23076923076923,0.934209484601378,12631,0.597323988531384,41861,-4.27176473278602,1274,2.24719101123596,10.0862956218827,3906,7.54405286343611,30.9239173462117,0,"Leader",132,76.8,185,261.1,217.4,158.8,244.2,208,101.6,132.9,145.8,103,171,160.1,115.6,162.8,344,229.4,124.8,114,76.2,163.9,131.6,75.7,107.9,81.8,210.2,106.3,82.6,150.2,37.7,77.4,109.6,159.3,192.7,179.1,72.9,140.8,137.2,227.9,106.2,146.8,88.4,124.6,123.9
"RABOBANK",2019,"EU","Netherlands","Banks",314,85,6.25,0.673747622067216,12616,-0.118755442957807,43822,1.32957199343307,1411,10.7535321821036,11.1842105263158,3041,-22.1454173067076,24.1043119847812,0,"Leader",134.9,76.8,185,261.1,230.2,161.8,263.4,208,100,137.3,168.8,106,171,160.1,115.6,162.8,361.6,229.4,124.4,114.6,88.5,163.9,131.6,76,108.7,81.8,235.3,106.4,75.6,150.2,37.7,77.4,118.5,159.3,201.8,179.1,74,145.3,137.2,231.5,110.1,146.8,88.8,128.7,131
"ELECTROLUX",2017,"EU","Sweden","Household Goods & Home Construction",81,397.1,19.4,3.2,12399.6,0.8,56708,5.2,395.4,37.5,3.2,742.6,16.2,6,2394,"Leader",136.9,169.5,147.3,274.3,264.6,134.9,197.7,141.1,136.1,88.7,91.6,165.4,200,124.1,96.7,147.5,424.9,120.6,133.2,119,106.6,173.5,120.4,86.7,104.1,50.1,63.8,99.6,87.4,199.7,119.1,191.6,175.2,189.6,179.3,170.4,158.1,187.8,110.1,192.4,120.9,145.7,83.4,86.9,108.4
"ELECTROLUX",2018,"EU","Sweden","Household Goods & Home Construction",76,457.539414,20.0306984531645,3.77993860851201,12104.413891,1.69506799738854,51798,-8.65839035056782,453.443793,19.4758478935203,3.74610284383244,519.656338,-27.0998631804642,4.2931144182568,2394,"Leader",137.3,157.9,147.3,274.3,272.9,132.7,210.2,141.1,136.1,95.1,87.4,166.9,200,124.1,96.7,147.5,419.7,120.6,133.2,124.9,106,173.5,120.4,85.6,100.9,50.1,71,102.7,95.6,199.7,119.1,191.6,175.2,184.6,182.9,170.4,158.7,187.8,110.1,191.3,122.2,145.7,81.8,92.7,109.4
"ELECTROLUX",2019,"EU","Sweden","Household Goods & Home Construction",82,427.593731,-4.79539638470134,3.48271506559913,12277.597304,3.3296006637461,48652,-6.0735935750415,532.410193,19.6129034348156,4.33643635490914,397.058159,-22.1763601928539,3.23400539347092,2394,"Leader",138.4,146.3,147.3,274.3,284.9,137.4,213,141.1,136.1,102.6,85.3,172.2,200,124.1,96.7,147.5,447.6,120.6,133.2,129.8,103.9,173.5,120.4,85.6,98.8,50.1,69,104.5,108.6,199.7,119.1,191.6,175.2,179.7,188.9,170.4,160.5,187.8,110.1,196.7,122.7,145.7,81.1,96.9,111.3
"RHEINMETALL",2017,"EU","Germany","Automobiles & Parts",139,224,-13.2,3.8,5896,5.2,21610,2.9,270,-4.6,4.6,366,7,6.2,731,"Strong",119,146.3,73.1,68.4,102.3,113.4,137.2,66.1,136.1,83.1,43.3,148.1,112.9,133.2,118.3,90.6,194.9,200,131.1,108.7,141.1,101.2,160.4,111.7,103.5,102.3,113.7,119.6,123.7,95.1,126.9,161.8,158,102.6,116.8,80.6,145.3,134.9,125.6,158.3,128.5,132,106.4,119.3,93.3
