company,patents_2010_2019,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
VESTAS WIND SYSTEMS,1579,283,331,327,308,234,268,283,369,390,384
DANSKE BANK,1,0,0,0,0,0,0,0,1,0,0
EVONIK INDUSTRIES,511,1,3,9,122,269,317,94,72,7,8
AMADEUS,316,49,42,53,58,77,89,67,39,29,35
UBISOFT ENTERTAINMENT,6,2,2,2,1,1,2,1,0,0,1
HELLA,1747,222,180,185,194,253,247,201,179,294,277
DASSAULT SYSTEMES,293,11,18,27,30,50,43,36,63,38,44
BAE SYSTEMS,2587,348,412,422,273,429,531,423,481,374,479
DEUTSCHE BANK,3,0,0,1,1,1,1,0,0,0,2
AKZO NOBEL,966,263,265,267,241,257,266,270,304,210,184
MAHLE,3619,387,361,380,425,506,630,658,650,533,438
ACCENTURE,796,131,150,112,89,104,89,126,142,136,156
CARL ZEISS,4841,700,649,687,700,756,751,789,778,817,806
SANDVIK,1298,268,261,230,232,294,318,353,348,287,278
DEUTSCHE TELEKOM,1560,188,235,218,181,173,231,252,285,272,208
RWE,334,37,55,69,58,45,53,61,59,33,16
INTESA SANPAOLO,4,0,1,0,0,2,0,1,1,0,0
DIEHL,1295,149,183,221,190,151,152,161,150,176,187
THYSSENKRUPP,3706,396,468,473,548,646,752,785,957,900,993
FRESENIUS,1451,227,257,301,309,298,314,364,422,406,421
ARCELORMITTAL,451,81,98,77,75,75,97,133,179,186,233
UNICREDIT,9,1,0,0,1,3,4,2,2,0,1
ENI,502,121,123,121,134,124,126,100,86,79,74
RABOBANK,0,0,0,0,0,0,0,0,0,0,0
ELECTROLUX,2394,432,521,435,461,453,509,508,483,344,371
RHEINMETALL,731,184,181,158,124,127,114,83,102,131,99
BAT,784,145,168,195,213,226,199,220,229,215,264
DANONE,202,51,56,34,47,59,52,59,68,48,31
VATTENFALL,13,1,1,4,3,4,2,2,3,4,1
IPSEN,239,85,81,66,63,62,68,59,68,54,53
DASSAULT AVIATION,178,1,6,15,21,26,31,31,28,21,27
SOLVAY,1672,320,319,304,334,326,320,286,313,326,324
SAGE,255,20,23,38,50,52,58,53,75,68,92
L'AIR LIQUIDE,2677,385,467,472,450,417,519,408,446,460,477
INDRA SISTEMAS,18,3,4,3,2,3,4,2,3,3,3
VOITH,3037,655,635,580,492,399,428,314,314,290,321
