company,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
HEXAGON,27,24,33,66,87,85,60,74,60,76
UMICORE,109,117,118,107,109,118,137,135,165,188
SKF,250,282,366,393,428,503,354,168,67,60
SAAB,124,133,139,93,99,113,85,106,67,75
IBERDROLA,3,2,2,4,9,5,2,8,0,1
TRUMPF,155,154,155,159,182,180,206,212,248,271
CLAAS,148,134,133,102,132,158,143,150,132,174
JOHNSON MATTHEY,125,149,162,179,204,260,311,382,346,291
HEIDELBERGER DRUCKMASCHINEN,166,131,140,103,104,91,98,82,71,112
BURELLE,1,0,1,0,0,0,0,0,0,0
VILMORIN,2,2,3,5,7,10,8,12,15,10
BOUYGUES,18,20,18,27,15,19,12,15,10,5
LANXESS,181,215,216,240,229,254,205,219,128,136
KRONES,299,348,359,362,405,418,388,356,389,444
SMITH & NEPHEW,231,223,223,226,271,285,317,324,252,289
ASSA ABLOY,62,61,79,74,101,136,157,157,175,177
LYONDELLBASELL INDUSTRIES,0,0,0,0,0,0,0,0,0,0
BENTELER INTERNATIONAL,0,0,0,0,0,0,0,0,0,0
SYMRISE,66,46,35,57,49,57,59,94,90,116
SMITHS,111,100,90,100,106,138,155,129,143,123
VOESTALPINE,41,49,35,56,52,53,64,81,80,82
DEUTSCHE POST,86,85,63,28,39,34,29,38,22,26
BARCLAYS,13,5,11,19,31,35,17,12,6,12
ADIDAS,27,36,24,26,33,29,67,81,52,72
PRADA,8,5,11,13,5,2,2,1,0,2
DEUTSCHE BORSE,0,0,0,3,1,1,1,0,0,0
EBERSPAECHER,95,90,91,84,86,71,61,56,73,63
ALMIRALL,50,63,53,59,59,64,45,40,20,28
LINDE,396,351,481,397,472,480,515,588,491,381
QIAGEN,122,117,101,85,83,87,86,80,80,72
KWS SAAT,4,7,10,8,9,12,16,23,24,40
HUSQVARNA,86,84,127,159,162,182,212,210,205,221
SOFTWARE,486,568,730,765,813,1114,1235,1628,1658,1914
KRKA,62,60,37,28,14,7,20,29,10,6
